"pid","treatment","date","site","in_out","conspecific","other","proportion_cons","proportion_het","total","milk_in","vetch","milk_out","galium"
"W23","damage","2019-07-01","gf3","in",132,6,0.956521739130435,0.0434782608695652,138,57,17,272,0.2
"W24","damage","2019-07-01","gf3","in",155,9,0.945121951219512,0.0548780487804878,164,57,17,272,0.2
"W25","damage","2019-07-01","gf3","in",182,2,0.989130434782609,0.0108695652173913,184,57,17,272,0.2
"W26","damage","2019-07-01","gf3","in",124,4,0.96875,0.03125,128,57,17,272,0.2
"W27","damage","2019-07-01","gf3","in",39,1,0.975,0.025,40,57,17,272,0.2
"W28","damage","2019-07-01","gf3","in",84,5,0.943820224719101,0.0561797752808989,89,57,17,272,0.2
"W29","damage","2019-07-01","gf3","in",36,6,0.857142857142857,0.142857142857143,42,57,17,272,0.2
"W30","damage","2019-07-01","gf3","in",22,1,0.956521739130435,0.0434782608695652,23,57,17,272,0.2
"W31","damage","2019-07-01","gf3","in",44,5,0.897959183673469,0.102040816326531,49,57,17,272,0.2
"W32","damage","2019-07-01","gf3","in",96,0,1,0,96,57,17,272,0.2
"W33","damage","2019-07-01","gf3","in",69,7,0.907894736842105,0.0921052631578947,76,57,17,272,0.2
"W34","damage","2019-07-01","gf3","in",8,0,1,0,8,57,17,272,0.2
"W35","damage","2019-07-01","gf3","in",146,2,0.986486486486487,0.0135135135135135,148,57,17,272,0.2
"W36","damage","2019-07-01","gf3","in",51,2,0.962264150943396,0.0377358490566038,53,57,17,272,0.2
"W37","damage","2019-07-01","gf3","in",106,7,0.938053097345133,0.0619469026548673,113,57,17,272,0.2
"W38","damage","2019-07-01","gf3","in",189,11,0.945,0.055,200,57,17,272,0.2
"W39","damage","2019-07-01","gf3","in",84,1,0.988235294117647,0.0117647058823529,85,57,17,272,0.2
"W40","damage","2019-07-01","gf3","in",4,0,1,0,4,57,17,272,0.2
"W41","damage","2019-07-08","gf3","out",59,5,0.921875,0.078125,64,68,26,321,0.05
"W42","damage","2019-07-08","gf3","out",18,3,0.857142857142857,0.142857142857143,21,68,26,321,0.05
"W43","damage","2019-07-08","gf3","out",217,8,0.964444444444444,0.0355555555555556,225,68,26,321,0.05
"W44","damage","2019-07-08","gf3","out",72,2,0.972972972972973,0.027027027027027,74,68,26,321,0.05
"W45","damage","2019-07-08","gf3","out",16,2,0.888888888888889,0.111111111111111,18,68,26,321,0.05
"W46","damage","2019-07-08","gf3","out",112,4,0.96551724137931,0.0344827586206897,116,68,26,321,0.05
"W47","damage","2019-07-08","gf3","out",86,9,0.905263157894737,0.0947368421052632,95,68,26,321,0.05
"W48","damage","2019-07-08","gf3","out",7,1,0.875,0.125,8,68,26,321,0.05
"W49","damage","2019-07-08","gf3","out",114,9,0.926829268292683,0.0731707317073171,123,68,26,321,0.05
"W50","damage","2019-07-08","gf3","out",239,7,0.971544715447154,0.0284552845528455,246,68,26,321,0.05
"W51","damage","2019-07-08","gf3","out",41,5,0.891304347826087,0.108695652173913,46,68,26,321,0.05
"W52","damage","2019-07-08","gf3","out",146,2,0.986486486486487,0.0135135135135135,148,68,26,321,0.05
"W53","damage","2019-07-08","gf3","out",101,12,0.893805309734513,0.106194690265487,113,68,26,321,0.05
"W54","damage","2019-07-08","gf3","out",55,6,0.901639344262295,0.0983606557377049,61,68,26,321,0.05
"W55","damage","2019-07-08","gf3","out",74,9,0.891566265060241,0.108433734939759,83,68,26,321,0.05
"W56","damage","2019-07-08","gf3","out",34,6,0.85,0.15,40,68,26,321,0.05
"W57","damage","2019-07-08","gf3","out",116,12,0.90625,0.09375,128,68,26,321,0.05
"W58","damage","2019-07-08","gf3","out",33,7,0.825,0.175,40,68,26,321,0.05
